,p,x,y,Pd,Pt,Ru
99,100,-22.5,-13.5,0.2087917960681719,0.5202463177784307,0.2709618861533975
100,101,-18.0,-13.5,0.20864857901549727,0.48612870987820717,0.3052227111062956
101,102,-13.5,-13.5,0.2085053625598665,0.45201124420761496,0.33948339323251847
102,103,-9.0,-13.5,0.20836214670127587,0.41789392076576476,0.37374393253295934
103,104,-4.5,-13.5,0.20821893143972164,0.3837767395517671,0.40800432900851125
104,105,0.0,-13.5,0.2080757167752001,0.34965970056473267,0.44226458266006735
105,106,4.5,-13.5,0.20793250270770747,0.31554280380377203,0.47652469348852056
106,107,9.0,-13.5,0.20778928923724002,0.28142604926799575,0.5107846614947642
107,108,13.5,-13.5,0.2076460763637941,0.24730943695651464,0.5450444866796913
108,109,18.0,-13.5,0.20750286408736587,0.21319296686843928,0.5793041690441949
109,110,22.5,-13.5,0.20735965240795165,0.17907663900288034,0.6135637085891681
110,111,27.0,-13.5,0.2072164413255477,0.14496045335894847,0.6478231053155038
111,112,31.5,-13.5,0.20707323084015025,0.11084440993575435,0.6820823592240953
112,113,36.0,-13.5,0.20693002095175564,0.07672850873240872,0.7163414703158356
113,114,40.5,-13.5,0.20678681166036011,0.04261274974802221,0.7506004385916176
114,115,45.0,-13.5,0.20664360296595988,0.008497132981705551,0.7848592640523345
115,116,-45.0,-9.0,0.19499898887483255,0.6932093341511006,0.11179167697406685
116,117,-40.5,-9.0,0.19485579872015382,0.6590909244858609,0.1460532767939853
117,118,-36.0,-9.0,0.19471260916241456,0.6249726570554344,0.18031473378215104
118,119,-31.5,-9.0,0.194569420201611,0.5908545318589317,0.21457604793945736
119,120,-27.0,-9.0,0.19442623183773947,0.5567365488954632,0.2488372192667973
120,121,-22.5,-9.0,0.19428304407079622,0.5226187081641397,0.28309824776506415
121,122,-18.0,-9.0,0.19413985690077742,0.4885010096640717,0.3173591334351509
122,123,-13.5,-9.0,0.19399667032767945,0.45438345339436975,0.3516198762779508
123,124,-9.0,-9.0,0.19385348435149857,0.4202660393541445,0.38588047629435696
124,125,-4.5,-9.0,0.19371029897223094,0.38614876754250654,0.42014093348526244
125,126,0.0,-9.0,0.19356711418987294,0.3520316379585666,0.4544012478515604
126,127,4.5,-9.0,0.19342393000442082,0.3179146506014352,0.488661419394144
127,128,9.0,-9.0,0.1932807464158708,0.283797805470223,0.5229214481139062
128,129,13.5,-9.0,0.1931375634242192,0.24968110256404052,0.5571813340117402
129,130,18.0,-9.0,0.1929943810294623,0.2155645418819986,0.5914410770885391
130,131,22.5,-9.0,0.19285119923159624,0.18144812342320782,0.625700677345196
131,132,27.0,-9.0,0.19270801803061746,0.1473318471867788,0.6599601347826037
132,133,31.5,-9.0,0.1925648374265221,0.11321571317182227,0.6942194494016556
133,134,36.0,-9.0,0.19242165741930647,0.07909972137744889,0.7284786212032446
134,135,40.5,-9.0,0.19227847800896689,0.04498387180276934,0.7627376501882638
135,136,45.0,-9.0,0.19213529919549954,0.01086816444689431,0.7969965363576061
136,137,-45.0,-4.5,0.18049001460987318,0.6955821894616347,0.12392779592849212
137,138,-40.5,-4.5,0.1803468543387676,0.6614636891923967,0.15818945646883567
138,139,-36.0,-4.5,0.18020369466447844,0.6273453311587067,0.1924509741768148
139,140,-31.5,-4.5,0.18006053558700189,0.5932271153596753,0.22671234905332277
140,141,-27.0,-4.5,0.17991737710633426,0.559109041794413,0.26097358109925267
141,142,-22.5,-4.5,0.17977421922247183,0.5249911104620305,0.2952346703154977
