,p,x,y,Ag,Pd,Pt
201,202,-36.0,9.0,0.2663778596670935,0.11520040540952257,0.6184217349233838
202,203,-31.5,9.0,0.28450615894728004,0.12161087191779375,0.5938829691349262
203,204,-27.0,9.0,0.3026347226948865,0.12802143194611945,0.569343845358994
204,205,-22.5,9.0,0.32076355091570025,0.13443208549654628,0.5448043635877535
205,206,-18.0,9.0,0.3388926436155087,0.14084283257112068,0.5202645238133705
206,207,-13.5,9.0,0.3570220008000997,0.1472536731718894,0.4957243260280109
207,208,-9.0,9.0,0.37515162247526107,0.153664607300899,0.47118377022383984
208,209,-4.5,9.0,0.39328150864678096,0.16007563496019642,0.4466428563930226
209,210,0.0,9.0,0.41141165932044754,0.16648675615182829,0.4221015845277242
210,211,4.5,9.0,0.429542074502049,0.17289797087784156,0.3975599546201093
211,212,9.0,9.0,0.44767275419737423,0.1793092791402832,0.37301796666234255
212,213,13.5,9.0,0.4658036984122118,0.18572068094120012,0.34847562064658816
213,214,18.0,9.0,0.48393490715235055,0.19213217628263934,0.32393291656501005
214,215,22.5,9.0,0.5020663804235797,0.19854376516664812,0.2993898544097722
215,216,27.0,9.0,0.5201981182316883,0.20495544759527348,0.2748464341730382
216,217,31.5,9.0,0.5383301205824659,0.21136722357056273,0.2503026558469714
217,218,36.0,9.0,0.556462387481702,0.21777909309456317,0.22575851942373495
218,219,40.5,9.0,0.5745949189351862,0.22419105616932208,0.20121402489549173
219,220,45.0,9.0,0.5927277149487087,0.23060311279688686,0.17666917225440437
220,221,-45.0,13.5,0.25793414464935377,0.07813476130907984,0.6639310940415664
221,222,-40.5,13.5,0.2760625566426537,0.08454501908480268,0.6393924242725435
222,223,-36.0,13.5,0.29419123310756085,0.09095537037843411,0.6148533965140051
223,224,-31.5,13.5,0.3123201740498626,0.09736581519202066,0.5903140107581168
224,225,-27.0,13.5,0.3304493794753466,0.10377635352760879,0.5657742669970445
225,226,-22.5,13.5,0.3485788493898009,0.1101869853872452,0.5412341652229539
226,227,-18.0,13.5,0.3667085837990134,0.11659771077297652,0.5166937054280102
227,228,-13.5,13.5,0.3848385827087722,0.12300852968684943,0.4921528876043783
228,229,-9.0,13.5,0.4029688461248659,0.12941944213091078,0.4676117117442234
229,230,-4.5,13.5,0.42109937405308295,0.13583044810720735,0.4430701778397098
230,231,0.0,13.5,0.43923016649921187,0.1422415476177861,0.418528285883002
231,232,4.5,13.5,0.45736122346904184,0.14865274066469394,0.39398603586626424
232,233,9.0,13.5,0.47549254496836174,0.15506402724997795,0.3694434277816604
233,234,13.5,13.5,0.4936241310029607,0.16147540737568516,0.3449004616213541
234,235,18.0,13.5,0.5117559815786283,0.16788688104386276,0.320357137377509
235,236,22.5,13.5,0.5298880967011539,0.17429844825655788,0.2958134550422882
236,237,27.0,13.5,0.5480204763763274,0.18071010901581785,0.27126941460785475
237,238,31.5,13.5,0.5661531206099386,0.18712186332369,0.2467250160663715
238,239,36.0,13.5,0.5842860294077775,0.1935337111822216,0.22218025941000089
239,240,40.5,13.5,0.6024192027756344,0.19994565259346023,0.19763514463090542
240,241,45.0,13.5,0.6205526407192996,0.20635768755945327,0.173089671721247
241,242,-40.5,18.0,0.3038766348131551,0.0602988320823401,0.6358245331045049
242,243,-36.0,18.0,0.322005952965298,0.06670916166972819,0.6112848853649737
243,244,-31.5,18.0,0.34013553561059895,0.07311958477901832,0.5867448796103827
244,245,-27.0,18.0,0.35826538275484604,0.0795301014122571,0.5622045158328969
245,246,-22.5,18.0,0.3763954944038277,0.08594071157149127,0.5376637940246812
246,247,-18.0,18.0,0.3945258705633322,0.09235141525876753,0.5131227141779003
247,248,-13.5,18.0,0.41265651123914837,0.09876221247613272,0.4885812762847188
248,249,-9.0,18.0,0.4307874164370652,0.10517310322563377,0.4640394803373011
249,250,-4.5,18.0,0.44891858616287156,0.11158408750931753,0.43949732632781097
250,251,0.0,18.0,0.46705002042235655,0.11799516532923102,0.41495481424841235
251,252,4.5,18.0,0.4851817192213098,0.12440633668742135,0.39041194409126884
252,253,9.0,18.0,0.5033136825655206,0.13081760158593556,0.36586871584854386
253,254,13.5,18.0,0.5214459104607788,0.13722896002682086,0.3413251295124004
254,255,18.0,18.0,0.5395784029128741,0.1436404120121245,0.31678118507500136
255,256,22.5,18.0,0.5577111599275968,0.15005195754389372,0.2922368825285096
256,257,27.0,18.0,0.5758441815107368,0.1564635966241759,0.2676922218650873
257,258,31.5,18.0,0.5939774676680847,0.1628753292550185,0.24314720307689688
258,259,36.0,18.0,0.6121110184054308,0.1692871554384689,0.21860182615610027
259,260,40.5,18.0,0.6302448337285661,0.1756990751765747,0.1940560910948592
